__description,polarity,bullet,input,__expected1,__expected2
gnomic-01,rewrite,PC-gnomic-restatement,The nightly job dropped 400 rows on Tuesday. A pipeline that writes before it validates hands the next run a corrupt partition.,not-contains:A pipeline that,icontains:400
gnomic-02,rewrite,PC-gnomic-restatement,We reverted the schema change on Friday. Any migration whose rollback is only tested in staging carries the same risk.,not-contains:Any migration whose,icontains:Friday
gnomic-03,rewrite,PC-gnomic-restatement,Three of the eleven runbooks name no owner. An unowned runbook is not a runbook.,not-contains:An unowned runbook,icontains:eleven
gnomic-04,rewrite,PC-gnomic-restatement,"The queue backed up to 90,000 messages overnight. Collapsing retry and dead-letter into one topic makes the consumer grade its own homework.",not-contains:Collapsing retry,"icontains:90,000"
gnomic-05,rewrite,PC-gnomic-restatement,Two teams adopted the linter and both disabled the strictest rule. Every rule a team can switch off is a suggestion.,not-contains:Every rule a team,icontains:Two teams
gnomic-06,rewrite,PC-gnomic-restatement,The cache served stale data for six hours. A TTL only converts stale into stale for a bounded window.,not-contains:A TTL only converts,icontains:six hours
gnomic-07,rewrite,PC-gnomic-restatement,We found the credential in the deploy repo. A secret that lives in git history is already public.,not-contains:A secret that lives,icontains:deploy repo
gnomic-08,preserve,PC-gnomic-restatement,A failed probe is not a healthy pod. Treat a timeout as a failure everywhere in this document.,icontains:timeout,
gnomic-09,preserve,PC-gnomic-restatement,"A search that returns nothing means the term was absent from the four repos checked on this branch, not that it is absent everywhere.",icontains:four repos,
gnomic-10,preserve,PC-gnomic-restatement,"If a queue drains after conversion, the boundary was never the problem.",icontains:queue drains,
foil-01,preserve,PC-phantom-foil,The installer now writes the lockfile atomically rather than in place.,icontains:in place,icontains:lockfile
foil-02,rewrite,PC-phantom-foil,We shipped the fix as a config flag instead of a rewrite of the scheduler.,not-contains:instead of,icontains:config flag
foil-03,rewrite,PC-phantom-foil,"The runbook guides the operator, not merely a checklist to tick through.",not-contains:not merely,icontains:runbook
foil-04,rewrite,PC-phantom-foil,"This is a measurement, not a guess.",not-contains:not a guess,
foil-05,rewrite,PC-phantom-foil,The installer verifies the checksum instead of trusting the CDN ETag header.,not-contains:instead of,icontains:checksum
foil-06,rewrite,PC-phantom-foil,"Treat the output as evidence, less a summary than a transcript.",not-contains:less a,icontains:transcript
foil-07,preserve,PC-phantom-foil,The scheduler drops the job rather than retrying forever.,icontains:retry,icontains:drops
foil-08,preserve,PC-phantom-foil,We picked Postgres instead of DynamoDB. DynamoDB was the incumbent and the migration plan assumed we would keep it.,icontains:DynamoDB,
foil-09,preserve,PC-phantom-foil,"The threshold is 10 MB of body, not 10 MB of request. A multipart upload with three parts passes the first check and fails the second.",icontains:multipart,
foil-10,preserve,PC-phantom-foil,Run the pre-flight query rather than trusting the table above. The table is hand-maintained and was last touched in March.,icontains:March,
dispneg-01,rewrite,PC-displacing-negation,The permission change does not reduce this account's access.,not-contains:does not reduce,icontains:account
dispneg-02,rewrite,PC-displacing-negation,Raising the timeout will not shorten the stall.,not-contains:will not shorten,icontains:stall
dispneg-03,rewrite,PC-displacing-negation,The new index never touches the write path.,not-contains:never touches,icontains:index
dispneg-04,rewrite,PC-displacing-negation,Enabling the flag fails to change behaviour for existing tenants.,not-contains:fails to change,icontains:tenants
dispneg-05,rewrite,PC-displacing-negation,The rollback script leaves the dropped column unrecovered.,not-contains:unrecovered,icontains:column
dispneg-06,rewrite,PC-displacing-negation,Nothing in the patch affects the scheduler.,not-contains:Nothing in the patch,icontains:scheduler
dispneg-07,rewrite,PC-displacing-negation,The audit turned up no finding against the storage tier.,not-contains:no finding,icontains:storage tier
dispneg-08,preserve,PC-displacing-negation,No test covers the retry path.,icontains:No test,
dispneg-09,preserve,PC-displacing-negation,Never force push to a shared branch.,icontains:Never force push,
dispneg-10,preserve,PC-displacing-negation,The vendor claims the connector is idempotent. It is not. A replayed batch doubles every row.,icontains:doubles,
coord-01,rewrite,PC-coordination,"The build cache was pruned on Monday, and the CI queue depth halved the same afternoon.",icontains:Monday,icontains:queue depth
coord-02,rewrite,PC-coordination,"The agent writes the manifest, but the operator has to approve it before anything applies.",icontains:manifest,icontains:operator
coord-03,rewrite,PC-coordination,"We pinned the base image, and the CVE count fell from 4,041 to 118.",icontains:118,
coord-04,rewrite,PC-coordination,"The linter flags the pattern, yet the pre-commit hook lets it through.",icontains:pre-commit,
coord-05,rewrite,PC-coordination,"Two services emit the metric, and the dashboard reads only one of them.",icontains:dashboard,
coord-06,rewrite,PC-coordination,"The rotation is scheduled for the ninth, and the freeze starts on the seventh.",icontains:seventh,
coord-07,rewrite,PC-coordination,"The runner owns the TCC grant, but launchd invokes the shell instead.",icontains:launchd,
coord-08,preserve,PC-coordination,The installer reads and validates the config before it writes anything.,icontains:validates,
coord-09,preserve,PC-coordination,"The probe times out after 30 seconds, so the orchestrator marks the pod unhealthy.",icontains:30 seconds,
coord-10,preserve,PC-coordination,"Pin the base image first, because the scan runs against whatever digest is current at build time.",icontains:digest,
passive-01,rewrite,PC-agentless-passive,The stale entries are evicted from the cache by the sweeper.,not-contains:are evicted,icontains:sweeper
passive-02,rewrite,PC-agentless-passive,Malformed payloads are rejected at the boundary by the schema validator.,not-contains:are rejected,icontains:schema validator
passive-03,rewrite,PC-agentless-passive,The report is generated nightly from the warehouse by a scheduled query.,not-contains:is generated,icontains:scheduled query
passive-04,rewrite,PC-agentless-passive,Duplicate rows are collapsed in the silver layer through the merge step.,not-contains:are collapsed,icontains:merge step
passive-05,rewrite,PC-agentless-passive,The token is minted for each request by the sidecar.,not-contains:is minted,icontains:sidecar
passive-06,rewrite,PC-agentless-passive,These findings were triaged in September by the platform team.,not-contains:were triaged,icontains:platform team
passive-07,rewrite,PC-agentless-passive,The threshold is enforced at deploy time through the admission controller.,not-contains:is enforced,icontains:admission controller
passive-08,preserve,PC-agentless-passive,The file was corrupted.,icontains:corrupted,
passive-09,preserve,PC-agentless-passive,The partition was created in 2021 and nobody has claimed it since.,icontains:2021,
passive-10,preserve,PC-agentless-passive,The eight events have aged out of retention and can no longer be re-checked.,icontains:retention,
abstract-01,rewrite,PC-abstract-nouns-as-actors,Adoption stalled in the third quarter.,not-contains:Adoption stalled,icontains:third quarter
abstract-02,rewrite,PC-abstract-nouns-as-actors,Alignment happens in the Thursday review.,not-contains:Alignment happens,icontains:Thursday
abstract-03,rewrite,PC-abstract-nouns-as-actors,The migration decided to keep the old schema.,not-contains:The migration decided,icontains:schema
abstract-04,rewrite,PC-abstract-nouns-as-actors,Onboarding waits for the security sign-off.,not-contains:Onboarding waits,icontains:security
abstract-05,rewrite,PC-abstract-nouns-as-actors,Remediation arrives after the audit closes.,not-contains:Remediation arrives,icontains:audit
abstract-06,rewrite,PC-abstract-nouns-as-actors,Ownership of the runbook drifted twice this year.,not-contains:Ownership of the runbook,icontains:twice
abstract-07,rewrite,PC-abstract-nouns-as-actors,The learning waits for the end of the batch.,not-contains:The learning waits,
abstract-08,preserve,PC-abstract-nouns-as-actors,Adoption is at 12 percent.,icontains:12 percent,
abstract-09,preserve,PC-abstract-nouns-as-actors,The migration is complete on four of the nine tables.,icontains:four of the nine,
abstract-10,preserve,PC-abstract-nouns-as-actors,"Documentation uniformity from templated exports makes drift detection harder, because every page now opens the same way.",icontains:templated exports,
tsupp-01,rewrite,PC-trailing-supplements,"The harness loads at startup, resident until the process exits.","not-contains:, resident",icontains:startup
tsupp-02,rewrite,PC-trailing-supplements,"The agent resolves the config from disk, wherever it starts.",not-contains:wherever,icontains:disk
tsupp-03,rewrite,PC-trailing-supplements,"The sweeper runs every fifteen minutes, which means a deleted blob can linger.","not-contains:, which means",icontains:fifteen
tsupp-04,rewrite,PC-trailing-supplements,"The plugin ships enabled, assuming the marketplace entry resolves.","not-contains:, assuming",icontains:plugin
tsupp-05,rewrite,PC-trailing-supplements,"We cut the p95 to 400 ms, leaving the p99 untouched.","not-contains:, leaving",icontains:400 ms
tsupp-06,rewrite,PC-trailing-supplements,"The scanner reads every retained digest, which is a registry with 900 images in it.","not-contains:, which is",icontains:900
tsupp-07,rewrite,PC-trailing-supplements,"The grant is keyed to the binary path, making a rebuild a re-prompt.","not-contains:, making",icontains:rebuild
