__description,polarity,bullet,input,__expected1,__expected2
devx-3716-handoff,rewrite,PC-labels-as-subject,"The original ticket (DEVX-3716, real Clinical Analytics onboarding) is still not done, because everything built was either reusable process tooling or a throwaway fixture. The biggest risk for a follow-up session is confusing the testweller fixture objects or the ado2sonar-integration test account with real, ticket-ready work. They need explicit disposition (kept as the real production objects, or torn down) before DEVX-3716 can be closed. The credential-architecture doc's content is final, but it sits in /tmp, unpublished.",not-contains:biggest risk,icontains:ado2sonar-integration
subject-census-pronouns,rewrite,PC-subject-census,"The scheduler drops a job after three retries. It writes no record when it does. They then reappear in the next poll, and it never reconciles them. This is the reason the queue depth climbs overnight.",icontains:three,icontains:queue depth
landing-beat-density,rewrite,PC-landing-beats,Four of the thirty-three teams have adopted the runbook so far. DevX owns it and reviews it each quarter. The other teams were never asked. That is the department standard.,not-contains:That is the department standard,icontains:thirty-three
synonym-cycling,rewrite,PC-synonym-cycling,"The platform now carries eleven services. The ecosystem grew by four of them this quarter, and the stack absorbed the rest from the retired cluster. Nobody has audited the environment since March.",icontains:eleven,icontains:March
cross-format-duplication,rewrite,PC-cross-format-duplication,"The table above lists the three profiles and their credential helpers. The jim profile uses a GitHub token helper, the work profile uses an Azure DevOps helper, and the hearst profile uses a GitHub token helper. Each one carries its own signing key.",icontains:profile,
negative-space-padding,rewrite,PC-negative-space-padding,"The migration moves the schema and the indexes. Out of scope are a rewrite of the ORM layer, a change to the connection pool, a switch to a managed service, and a new backup policy. The cutover is scheduled for the ninth.",not-contains:Out of scope,icontains:ninth
recap-flattery-opener,rewrite,PC-recap-flattery,"Thanks for all the legwork here, the migration script and the rollback plan you worked through are what made this possible. The cutover failed on the third table because the index was still building. We are rerunning it tonight.",not-contains:what made this possible,icontains:third table
copula-stack,rewrite,PC-abstract-nouns-as-actors,"The backlog is large. Triage of the backlog is slow, and the ownership of triage is unclear. Resolution of that ambiguity is the next step for the team.",icontains:backlog,
emdash-density,rewrite,PC-emdashes,The scheduler retries three times — and then drops the job. A dropped job leaves no record — the next poll cannot tell it apart from a new one — so the queue depth climbs. Nobody noticed until March.,icontains:March,icontains:queue depth
preserve-warmth-that-acts,preserve,PC-warmth-that-acts,"We are holding the release until you confirm the index finished building. Ping us either way, because the on-call rotation changes at six and the next person will not have this context.",icontains:six,icontains:on-call
preserve-analyst-assessment,preserve,PC-praise-adjectives,"Tara pushed back substantively on the ownership split. Her concern is well-articulated and it is a legitimate design question, so we are taking it to the architecture review on the ninth.",icontains:legitimate,icontains:ninth
preserve-table-lead,preserve,PC-cross-format-duplication,"The table above records which account called which model. Two of the five entries predate the Bedrock migration, so their identifiers use the dated form.",icontains:Bedrock,
