__description,polarity,bullet,input,__expected1,__expected2
generic-open-01,rewrite,PC-generic-openings,"In today's rapidly evolving landscape, our deployment pipeline needs a rethink. The nightly build has failed nine times this month.",not-contains:evolving landscape,icontains:nine
generic-open-02,rewrite,PC-generic-openings,"As organizations increasingly embrace cloud-native architectures, we should revisit the Colima setup. It breaks on every macOS point release.",not-contains:increasingly embrace,icontains:Colima
generic-open-03,rewrite,PC-generic-openings,"In an era where developer experience is paramount, the onboarding doc is out of date. Four of the eleven steps no longer apply.",not-contains:In an era,icontains:eleven
generic-open-04,rewrite,PC-generic-openings,"With the pace of change accelerating across the industry, here is where the migration stands. Two tables are cut over and six are not.",not-contains:pace of change,icontains:six
generic-open-05,rewrite,PC-generic-openings,"Now more than ever, secrets hygiene matters. We found a committed PAT in the deploy repo on Tuesday.",not-contains:Now more than ever,icontains:Tuesday
generic-open-06,rewrite,PC-generic-openings,"In the modern software development lifecycle, code review is critical. Ours takes a median of four days.",not-contains:In the modern,icontains:four days
generic-open-07,rewrite,PC-generic-openings,"Against the backdrop of tightening compliance requirements, the audit log gap needs an owner. Nobody has claimed it since March.",not-contains:Against the backdrop,icontains:March
generic-open-08,preserve,PC-generic-openings,This note covers the three settings files and what differs between them. Everything else in the repo is unchanged.,icontains:three settings files,
generic-open-09,preserve,PC-generic-openings,"What follows is the rollback procedure for the schema change, written for whoever is on call.",icontains:rollback procedure,
generic-open-10,preserve,PC-generic-openings,Scope for this review is the auth middleware only. The token refresh path is being handled on a separate ticket.,icontains:auth middleware,
filler-trans-01,rewrite,PC-filler-transitions,"The job failed on Tuesday. Moreover, the log was truncated at 2 MB.",not-contains:Moreover,icontains:2 MB
filler-trans-02,rewrite,PC-filler-transitions,"The index finished building at 03:10. Furthermore, the replica caught up within the hour.",not-contains:Furthermore,icontains:replica
filler-trans-03,rewrite,PC-filler-transitions,"We reverted the change. Additionally, we pinned the dependency to the previous minor.",not-contains:Additionally,icontains:pinned
filler-trans-04,rewrite,PC-filler-transitions,"The scan found nothing in application source. Notably, it does not cover the container base image.",not-contains:Notably,icontains:base image
filler-trans-05,rewrite,PC-filler-transitions,"Three teams have adopted the runbook. That being said, none has run the drill.",not-contains:That being said,icontains:drill
filler-trans-06,rewrite,PC-filler-transitions,"The p95 dropped to 400 ms. In addition, error rate fell to 0.2 percent.",not-contains:In addition,icontains:0.2
filler-trans-07,rewrite,PC-filler-transitions,The cutover is scheduled for the ninth. It is worth noting that the freeze starts on the seventh.,not-contains:worth noting,icontains:seventh
filler-trans-08,preserve,PC-filler-transitions,"The index finished building at 03:10, so the replica caught up within the hour.",icontains:03:10,
filler-trans-09,preserve,PC-filler-transitions,"We reverted the change. The revert did not restore the dropped column, so the backfill still has to run.",icontains:backfill,
filler-trans-10,preserve,PC-filler-transitions,"The scan found nothing in application source. It does not cover the container base image, which is where the 4,041 CVEs live.","icontains:4,041",
recap-flat-01,rewrite,PC-recap-flattery,"Thanks for all the legwork here, the migration script and the rollback plan you put together are what made this possible. The cutover failed on the third table because the index was still building.",not-contains:what made this possible,icontains:third table
