__description,polarity,bullet,input,__expected1,__expected2
computed-01,rewrite,PC-computed-number,"The archive held 24 of the 64 weeks, which is more than a third.",not-contains:more than a third,icontains:24
computed-02,rewrite,PC-computed-number,"The cap is 25 MiB and the largest processed file was 24.98 MiB, so we are under the limit by 0.02 MiB.",not-contains:0.02,icontains:24.98
computed-03,rewrite,PC-computed-number,"Four of the thirty-three teams adopted it, roughly one in eight.",not-contains:one in eight,icontains:thirty-three
computed-04,rewrite,PC-computed-number,"The scan found 14 hotspots across 5 repositories, averaging about 3 per repo.",not-contains:3 per repo,icontains:14
computed-05,rewrite,PC-computed-number,"p95 fell from 29.0s to 6.81s, a 77 percent improvement.",not-contains:77 percent,icontains:6.81
computed-06,rewrite,PC-computed-number,"No upload has been turned away, and none has had room to spare either.",not-contains:room to spare,icontains:turned away
computed-07,preserve,PC-computed-number,The archive held 24 of the 64 weeks.,icontains:24 of the 64,
computed-08,preserve,PC-computed-number,The cap is 25 MiB. The largest file processed so far measured 24.98 MiB.,icontains:24.98,
computed-09,preserve,PC-computed-number,"1,000 log lines returned against a query cap of 1,000.","icontains:1,000",
tool-leak-01,rewrite,PC-assistant-tool-leaks,The runbook is at https://example.com/ops?utm_source=chatgpt.com and covers failover.,not-contains:utm_source,icontains:failover
tool-leak-02,rewrite,PC-assistant-tool-leaks,See the vendor advisory citeturn0search0 for the affected versions.,not-contains:citeturn,icontains:advisory
tool-leak-03,rewrite,PC-assistant-tool-leaks,"Signed, [Your Name], Platform Engineering.",not-contains:[Your Name],icontains:Platform Engineering
tool-leak-04,rewrite,PC-assistant-tool-leaks,The incident began on 2025-XX-XX and lasted four hours.,not-contains:2025-XX-XX,icontains:four hours
tool-leak-05,rewrite,PC-assistant-tool-leaks,Full details in contentReference[oaicite:0] and the attached log.,not-contains:oaicite,icontains:log
tool-leak-06,rewrite,PC-assistant-tool-leaks,Reference the migration guide at https://docs.example.com/migrate?utm_source=claude.ai for the steps.,not-contains:utm_source,icontains:migration guide
tool-leak-07,preserve,PC-assistant-tool-leaks,The runbook is at https://example.com/ops and covers failover.,icontains:example.com/ops,
tool-leak-08,preserve,PC-assistant-tool-leaks,Customer voice: not available in the research retrieved. [NEEDS INPUT before review],icontains:NEEDS INPUT,
tool-leak-09,preserve,PC-assistant-tool-leaks,The incident began at 02:04 on 8/14 and lasted four hours.,icontains:8/14,
copula-01,rewrite,PC-copula-avoidance,The runbook serves as the reference for on-call staff.,not-contains:serves as,icontains:runbook
copula-02,rewrite,PC-copula-avoidance,This release represents a change to the default retry count.,not-contains:represents,icontains:retry
copula-03,rewrite,PC-copula-avoidance,The dashboard features six panels and a rolling alert list.,not-contains:features,icontains:six panels
copula-04,rewrite,PC-copula-avoidance,The cluster boasts 40 nodes across three zones.,not-contains:boasts,icontains:40 nodes
copula-05,rewrite,PC-copula-avoidance,We utilize a shared cache in order to reduce Datahub traffic.,not-contains:utilize,not-contains:in order to
copula-06,rewrite,PC-copula-avoidance,The migration was deferred due to the fact that the index had not landed.,not-contains:due to the fact,icontains:index
copula-07,preserve,PC-copula-avoidance,The runbook is the reference for on-call staff.,icontains:runbook,
copula-08,preserve,PC-copula-avoidance,The dashboard has six panels and a rolling alert list.,icontains:six panels,
copula-09,preserve,PC-copula-avoidance,The sweeper reclaims blobs older than seven days.,icontains:seven days,
glyph-01,rewrite,PC-emojis-and-glyphs,🚀 The build passed on all three platforms. Ship it!,icontains:three platforms,
glyph-02,rewrite,PC-emojis-and-glyphs,📊 Status update on the rollout: four teams done ✅ and two pending ⏳,icontains:four teams,
glyph-03,rewrite,PC-emojis-and-glyphs,"🎉 The p95 dropped to 400 ms, a solid win for the caching work.",not-contains:solid win,icontains:400 ms
glyph-04,rewrite,PC-emojis-and-glyphs,"⚠️ Heads up team, the freeze starts Thursday and lasts through the release.",icontains:Thursday,
glyph-05,rewrite,PC-emojis-and-glyphs,✅ The migration is complete and the old tables are dropped 🗑,icontains:old tables,
glyph-06,rewrite,PC-emojis-and-glyphs,🔔 Reminder: the on-call rotation changes at six.,icontains:six,
glyph-07,preserve,PC-emojis-and-glyphs,The banner renders a green circle when the check passes and a red square when it fails.,icontains:green circle,icontains:red square
glyph-08,preserve,PC-emojis-and-glyphs,"The status column uses a filled dot for enforcing and a hollow dot for reporting, defined in the legend above.",icontains:filled dot,
glyph-09,preserve,PC-emojis-and-glyphs,"The count is 4,041 across every retained digest.","icontains:4,041",
hype-01,rewrite,PC-hype,The new pipeline is production ready and battle tested.,not-contains:production ready,not-contains:battle tested
hype-02,rewrite,PC-hype,This is a next-generation approach to dependency scanning.,not-contains:next-generation,icontains:dependency scanning
hype-03,rewrite,PC-hype,The framework gives us a powerful and comprehensive view of the estate.,not-contains:powerful,not-contains:comprehensive
hype-04,rewrite,PC-hype,A game-changer for how the team handles incident review.,not-contains:game-changer,icontains:incident review
hype-05,rewrite,PC-hype,Our cutting-edge observability stack surfaces issues before users see them.,not-contains:cutting-edge,icontains:observability
hype-06,rewrite,PC-hype,This revolutionary change to the scheduler eliminates queueing entirely.,not-contains:revolutionary,icontains:scheduler
hype-07,preserve,PC-hype,The pipeline runs in CI on every pull request and has blocked 31 merges since June.,icontains:31 merges,
hype-08,preserve,PC-hype,The scanner covers 8 of the 13 repositories. The other 5 have no pipeline step.,icontains:8 of the 13,
hype-09,preserve,PC-hype,The scheduler holds a job for at most three retries before dropping it.,icontains:three retries,
signpost-01,rewrite,PC-interrogative-signposts,What changed. The scheduler now retries three times.,not-contains:What changed,icontains:three
signpost-02,rewrite,PC-interrogative-signposts,Why it matters. A dropped job leaves no record.,not-contains:Why it matters,icontains:record
signpost-03,rewrite,PC-interrogative-signposts,Where it stands. Two of nine tables have cut over.,not-contains:Where it stands,icontains:nine
signpost-04,rewrite,PC-interrogative-signposts,What you need to do. Rotate the key before Friday.,not-contains:What you need to do,icontains:Friday
signpost-05,rewrite,PC-interrogative-signposts,The problem. The gate authenticates nobody.,not-contains:The problem,icontains:gate
signpost-06,rewrite,PC-interrogative-signposts,The fix. Pass the filter server-side.,not-contains:The fix,icontains:filter
signpost-07,preserve,PC-interrogative-signposts,"The scheduler retries three times and then drops the job, leaving no record for the next poll.",icontains:three times,
signpost-08,preserve,PC-interrogative-signposts,Rotate the key before Friday. The stage secret expires on the fourteenth.,icontains:fourteenth,
signpost-09,preserve,PC-interrogative-signposts,Two of nine tables have cut over. The other seven are blocked on the index.,icontains:seven,
labelcolon-01,rewrite,PC-label-colon-prefixes,Bottom line: the WAF blocks nothing today.,not-contains:Bottom line,icontains:WAF
labelcolon-02,rewrite,PC-label-colon-prefixes,Net effect: three services authenticate no caller.,not-contains:Net effect,icontains:three services
labelcolon-03,rewrite,PC-label-colon-prefixes,Status: the index finished building at 03:10.,not-contains:Status:,icontains:03:10
labelcolon-04,rewrite,PC-label-colon-prefixes,To be clear: the restore has never been tested.,not-contains:To be clear,icontains:restore
labelcolon-05,rewrite,PC-label-colon-prefixes,Honest status: the migration is three weeks behind.,not-contains:Honest status,icontains:three weeks
labelcolon-06,rewrite,PC-label-colon-prefixes,Key takeaway: nobody owns the audit-log gap.,not-contains:Key takeaway,icontains:audit-log
labelcolon-07,preserve,PC-label-colon-prefixes,The WAF blocks nothing today because it runs in Detection mode.,icontains:Detection,
labelcolon-08,preserve,PC-label-colon-prefixes,"Recorded TLS minimums, attachment 1.2 and orchestrator 1.3.",icontains:1.3,
labelcolon-09,preserve,PC-label-colon-prefixes,The migration is three weeks behind. The index rebuild took longer than the estimate.,icontains:index rebuild,
leadsub-01,rewrite,PC-leading-subordinate,"To avoid a partial write, the installer checks permissions first.",not-contains:To avoid,icontains:permissions
leadsub-02,rewrite,PC-leading-subordinate,"When the probe times out, the orchestrator marks the pod unhealthy.",not-contains:When the probe,icontains:unhealthy
leadsub-03,rewrite,PC-leading-subordinate,"Because the cache is shared, a flag flip is invisible for an hour.",not-contains:Because the cache,icontains:hour
leadsub-04,rewrite,PC-leading-subordinate,Whether the gate is enabled in staging turns on one app setting.,not-contains:Whether the gate,icontains:app setting
leadsub-05,rewrite,PC-leading-subordinate,What determines the routing target is the Salesforce flag.,not-contains:What determines,icontains:Salesforce
leadsub-06,rewrite,PC-leading-subordinate,Breaking a large batch into smaller ones is still a batch.,not-contains:Breaking a large,icontains:batch
leadsub-07,preserve,PC-leading-subordinate,"If the roles are missing, run the bootstrap and restart the App Service.",icontains:bootstrap,
leadsub-08,preserve,PC-leading-subordinate,"If a queue drains after conversion, the boundary was never the problem.",icontains:boundary,
leadsub-09,preserve,PC-leading-subordinate,The installer checks permissions before it writes anything.,icontains:permissions,
loadbear-01,rewrite,PC-load-bearing,The review is load-bearing for the release.,not-contains:load-bearing,icontains:release
loadbear-02,rewrite,PC-load-bearing,That clause is load bearing in the whole argument.,not-contains:load bearing,icontains:clause
loadbear-03,rewrite,PC-load-bearing,Choosing Stage over Test is the load-bearing decision here.,not-contains:load-bearing,icontains:Stage
loadbear-04,rewrite,PC-load-bearing,"The private endpoint is load-bearing, so removing it breaks every caller.",not-contains:load-bearing,icontains:private endpoint
loadbear-05,rewrite,PC-load-bearing,This assumption is load bearing and nobody has checked it.,not-contains:load bearing,icontains:assumption
loadbear-06,rewrite,PC-load-bearing,The index is the load-bearing part of the row cap.,not-contains:load-bearing,icontains:row cap
loadbear-07,preserve,PC-load-bearing,The review gates the release. Nothing merges until it passes.,icontains:gates the release,
loadbear-08,preserve,PC-load-bearing,Deleting the private endpoint breaks every caller inside the VNet.,icontains:VNet,
loadbear-09,preserve,PC-load-bearing,"The index has to land before the row cap, because the cap scans the same key order.",icontains:key order,
markersub-01,rewrite,PC-marker-substitution,"DEVX-3716 is open, because everything built so far was tooling or a fixture.",not-contains:because,icontains:DEVX-3716
markersub-02,rewrite,PC-marker-substitution,"The build is red, so the cache was pruned on Monday.",not-contains:so the cache,icontains:Monday
markersub-03,rewrite,PC-marker-substitution,"Adoption sits at 12 percent, therefore the runbook has four owners.",not-contains:therefore,icontains:12 percent
markersub-04,rewrite,PC-marker-substitution,"The scan found 14 hotspots, which means the gate fails.",not-contains:which means,icontains:14
markersub-05,rewrite,PC-marker-substitution,"Adoption reached 12 percent in August. The runbook has four owners, because adoption reached 12 percent.",not-contains:because adoption,icontains:four owners
markersub-06,rewrite,PC-marker-substitution,"Three teams adopted the linter, so the CVE count fell.",not-contains:so the CVE,icontains:Three teams
markersub-07,preserve,PC-marker-substitution,"The installer writes the config before it checks permissions, so a failed check leaves a half-written file.",icontains:half-written,
markersub-08,preserve,PC-marker-substitution,"The gate is in Detection mode, so it logs every match and blocks none.",icontains:Detection,
markersub-09,preserve,PC-marker-substitution,"The index has not landed, so the row cap cannot ship yet.",icontains:row cap,
negspace-01,rewrite,PC-negative-space-padding,"Out of scope, a rewrite of the ORM layer, a change to the connection pool, a switch to a managed service, and a new backup policy. The cutover is on the ninth.",not-contains:Out of scope,icontains:ninth
negspace-02,rewrite,PC-negative-space-padding,"Non-goals for this release, a new admin UI, a second storage backend, multi-region failover, and a public API.",not-contains:Non-goals,icontains:release
negspace-03,rewrite,PC-negative-space-padding,"Deliberately not covered, the Windows agent, the legacy SOAP endpoint, the archived tenants, and the internal demo sites.",not-contains:Deliberately not covered,
negspace-04,rewrite,PC-negative-space-padding,"We did not change the retry count, the backoff curve, the jitter, or the dead-letter policy.",icontains:retry count,
negspace-05,rewrite,PC-negative-space-padding,"This spike does not address pricing, packaging, licensing, or the partner agreement.",icontains:spike,
negspace-06,rewrite,PC-negative-space-padding,"Not in this PR, tests for the sweeper, docs for the flag, a migration, or a changelog entry.",not-contains:Not in this PR,icontains:PR
negspace-07,preserve,PC-negative-space-padding,"The bootstrap creates roles, the schema and the grants. It does not create the databases, because those are provisioned by Terraform.",icontains:Terraform,
negspace-08,preserve,PC-negative-space-padding,The scan covers application source only. Container images are counted separately and the two numbers never merge.,icontains:Container images,
negspace-09,preserve,PC-negative-space-padding,Standard DTR is out of scope because Product asked for adaptive only on 8/19.,icontains:8/19,
opposing-01,rewrite,PC-opposing-phrases,"It is not a linter, it is a contract.",not-contains:not a linter,
opposing-02,rewrite,PC-opposing-phrases,"This is more than a runbook, it is an operating model.",not-contains:more than a runbook,icontains:operating model
