__description,polarity,bullet,input,__expected1,__expected2
emdash-08,rewrite,PC-emdashes,The scheduler drops the job after three retries — nobody is paged.,icontains:three retries,
emdash-09,rewrite,PC-emdashes,"We pinned the base image — the CVE count fell from 4,041 to 118.",icontains:118,
emdash-10,rewrite,PC-emdashes,"The runner owns the grant — launchd invokes the shell instead, so every read fails.",icontains:launchd,
emdash-11,rewrite,PC-emdashes,Rotation is due Friday -- the stage secret expires on the fourteenth.,icontains:fourteenth,
emdash-12,rewrite,PC-emdashes,The gate authenticates the caller — it does not authorize the request.,icontains:authorize,
emdash-13,preserve,PC-emdashes,"The pipeline runs four stages — fetch, build, scan, publish — and stops at the first failure.",icontains:publish,icontains:fetch
emdash-14,preserve,PC-emdashes,The window was 03:10 to 04:25 UTC — after the last of the eight events.,icontains:03:10,
colon-04,rewrite,PC-colons,The finding is simple: the WAF logs and blocks nothing.,icontains:WAF,
colon-05,rewrite,PC-colons,"Three profiles exist: jim, work, and hearst.",icontains:hearst,
colon-06,rewrite,PC-colons,Two grants are needed: one for the Drive domain and one for OneDrive.,icontains:OneDrive,
colon-07,rewrite,PC-colons,The sweeper has one job: reclaim blobs older than seven days.,icontains:seven days,
colon-08,rewrite,PC-colons,Remember the constraint: the signal cannot come from a list we maintain.,icontains:signal,
colon-09,preserve,PC-colons,Set `sops.age.recipient: age1abc` in the manifest before running the installer.,icontains:recipient,
colon-10,preserve,PC-colons,The job starts at 03:30 and the ratio of hits to misses runs 3:1.,icontains:03:30,
semicolon-03,rewrite,PC-semicolons,The index landed Tuesday; the row cap shipped a week later.,icontains:Tuesday,
semicolon-04,rewrite,PC-semicolons,Backups exist; nobody has restored one.,icontains:Backups,
semicolon-05,rewrite,PC-semicolons,The gate is enabled in prod; staging was never read.,icontains:staging,
semicolon-06,rewrite,PC-semicolons,Severity is the technical rating; priority is what the team agreed to work it at.,icontains:priority,
semicolon-07,rewrite,PC-semicolons,"The agents are backup, nightly; logrotate, at 03:30; and steampipe, at login.",icontains:logrotate,
semicolon-08,rewrite,PC-semicolons,Pooling makes the allocation cheaper; it does not stop the fetch.,icontains:fetch,
semicolon-09,preserve,PC-semicolons,Run `set -euo pipefail; exec claude` from the wrapper script.,icontains:pipefail,
semicolon-10,preserve,PC-semicolons,The CSS rule is `display: none; visibility: hidden` on the placeholder.,icontains:visibility,
triad-03,rewrite,PC-parallel-triads,"The config lands in Git, the secret travels with SOPS, and the log is readable by anyone.",icontains:SOPS,
triad-04,rewrite,PC-parallel-triads,"The change is small, the risk is low, and the payoff is large.",icontains:change,
triad-05,rewrite,PC-parallel-triads,"We measured the gate, we read the source, and we reconciled the two.",icontains:gate,
triad-06,rewrite,PC-parallel-triads,"It is faster to write, easier to review, and cheaper to run.",icontains:review,
triad-07,rewrite,PC-parallel-triads,"The scanner finds it, the linter flags it, and the hook blocks it.",icontains:hook,
triad-08,rewrite,PC-parallel-triads,"Adoption grew, latency fell, and the team shrank.",icontains:latency,
triad-09,preserve,PC-parallel-triads,"The installer fetches the manifest, links the configs, and loads the agents.",icontains:manifest,icontains:agents
triad-10,preserve,PC-parallel-triads,"The pipeline lints, builds, and publishes, in that order.",icontains:publishes,
praise-03,rewrite,PC-praise-adjectives,This is a significant improvement to the build time.,not-contains:significant,icontains:build time
praise-04,rewrite,PC-praise-adjectives,The team took an innovative approach to the caching problem.,not-contains:innovative,icontains:caching
praise-05,rewrite,PC-praise-adjectives,A scalable and effective solution to the routing question.,not-contains:scalable,icontains:routing
praise-06,rewrite,PC-praise-adjectives,The dashboard is exceptional and the alerting is best-in-class.,not-contains:exceptional,not-contains:best-in-class
praise-07,rewrite,PC-praise-adjectives,Their state-of-the-art indexing makes this a compelling option.,not-contains:state-of-the-art,icontains:indexing
praise-08,rewrite,PC-praise-adjectives,The remediation plan is sophisticated and unprecedented for this team.,not-contains:unprecedented,icontains:remediation
praise-09,preserve,PC-praise-adjectives,"Tara pushed back substantively on the ownership split, and the concern is well-articulated.",icontains:well-articulated,
praise-10,preserve,PC-praise-adjectives,The build time fell from 11 minutes to 4.,icontains:11 minutes,
llmvocab-03,rewrite,PC-llm-vocabulary,We should delve into the retry semantics before committing.,not-contains:delve,icontains:retry
llmvocab-04,rewrite,PC-llm-vocabulary,The migration is a testament to the meticulous planning of the team.,not-contains:testament to,not-contains:meticulous
llmvocab-05,rewrite,PC-llm-vocabulary,We leverage the shared cache for a seamless developer experience.,not-contains:leverage,not-contains:seamless
llmvocab-06,rewrite,PC-llm-vocabulary,The retro produced actionable learnings we can apply next sprint.,not-contains:actionable,not-contains:learnings
llmvocab-07,rewrite,PC-llm-vocabulary,"A holistic view of the estate, with impactful synergy across teams.",not-contains:holistic,not-contains:synergy
