__description,passage,expect
gen-incident-01,"The nightly batch job failed at 02:14 UTC on 9/12. The root cause was that the job writes its output file before validating the row count, so a truncated file was already in place when downstream jobs read it. A validation check was proposed during design review and rejected because it added 40 seconds to the job's runtime, which the team judged too costly at the time. Billing, reporting, the analytics pipeline, and the customer export job all read from the output file. Only two of the four, billing and reporting, detected the bad data before it reached production. The fix adds a checksum step that costs 12 seconds per run. No test has confirmed whether the checksum step catches every failure mode, or only the one observed on 9/12. The job has run without a repeat failure for 8 days since the fix, against roughly 90 days of operation before it.",generation
gen-incident-02,"The login service returned 500 errors for 22 minutes starting at 14:03 UTC on 8/30. The root cause was a certificate rotation script that deployed the new certificate before the load balancer's trust store had refreshed. An automatic rollback was proposed during the postmortem and rejected because it would have reverted three unrelated fixes shipped in the same release. Platform, identity, payments, and support were all paged during the incident. Of those four, only platform and identity had direct access to the certificate store. The mitigation adds a 90-second delay between certificate deployment and trust-store refresh, which slows every future rotation by that much. No production-load test has confirmed whether the delay eliminates the race condition or only makes it rare. Two rotations have completed cleanly since the fix, out of twelve rotations scheduled this year.",generation
gen-incident-03,"A deploy on 9/2 corrupted the search index for 40 minutes. The root cause was that the reindex step ran concurrently with a schema migration, and the migration renamed a field the reindex step still referenced. Serializing the two steps was rejected because it would add 6 minutes to every deploy, against an existing average of 18 minutes. The search team, the platform team, the schema owner, and release engineering were the four owners the incident review named for the fix. Only the search team and the schema owner attended the review. The fix adds a field-existence check before reindexing, at a cost of 2 seconds per run. No one has verified whether the check catches every future schema change, not only field renames. Since the fix shipped, 14 deploys have run clean, out of roughly 200 deploys per quarter.",generation
gen-incident-04,"The product page cache emptied at 6:00 AM on 9/5 during a scheduled TTL expiry. The root cause was that every cached key was set with the same fixed TTL, so all of them expired within the same second and every request fell through to the database at once. Staggering TTLs with random jitter was adopted. A separate proposal to disable the cache during low-traffic hours was rejected because those hours still carry the retail partner's batch jobs. Pricing, inventory, recommendations, and search were the four downstream services the stampede affected. Pricing and inventory saturated their connection pools. Recommendations and search degraded but stayed up. The jitter fix adds up to 300 seconds of TTL variance per key. No test has confirmed whether jitter alone prevents a stampede under a larger traffic spike than the one observed. The cache has not emptied fully in the 11 days since the fix, against a history of roughly one full-empty event per month.",generation
gen-incident-05,"The order-processing queue backed up to 40,000 messages starting at 11:00 AM on 9/10. The root cause was a downstream inventory service that slowed its average response time from 80ms to 900ms after an unrelated deploy. The queue consumer has no timeout, so each worker held a connection open until the response arrived. Adding a hard timeout was adopted. Killing the slow inventory deploy outright was rejected because the same deploy also fixed a billing miscalculation finance needed live that day. Fulfillment, inventory, finance, and platform all have a stake in queue health. Only fulfillment and platform were on the incident call. The timeout fix caps each worker connection at 2 seconds, which increases the retry rate on slow but valid inventory responses. No one has measured whether the higher retry rate adds meaningful load to inventory. The queue has stayed under 500 messages in the 6 days since, against a backlog history of at least one 10,000-plus spike per week.",generation
gen-capacity-01,"The primary database is running at 78 percent CPU during peak hours as of 9/1. Adding two read replicas was approved for a 10/15 deadline, ahead of the holiday traffic season. A larger primary instance was considered and rejected, because it requires a maintenance window with a full outage and no such window exists before 10/15. The reporting dashboard, the mobile API, the admin console, and the nightly export job all hit the primary directly. Only the reporting dashboard and the nightly export job are read-only and can move to a replica without code changes. The team does not yet know whether two replicas are enough to absorb peak load, or a third will be needed, since the estimate assumes last year's traffic growth rate. Replica provisioning historically takes 5 to 9 business days once approved.",generation
gen-capacity-02,"The primary object store is at 82 percent of its provisioned capacity as of 9/3. Growth has been roughly 3 percent per week for the last six weeks, driven mainly by uncompressed video uploads. The team approved a capacity expansion for 9/30, six days before the store is projected to hit 95 percent. Enabling compression on new uploads was proposed as an alternative and rejected for now, because it would delay the video-processing pipeline by an estimated 15 to 20 percent per file. The mobile app, the web app, the partner API, and the internal batch importer all feed the store. The partner API and the batch importer account for the fastest-growing share. The partner API's growth rate is unconfirmed. If it holds steady, the expansion covers growth through year-end. If not, it covers only through Q4. The store has never been expanded on less than 10 days' notice before this cycle.",generation
gen-capacity-03,"The platform team fields an average of 14 pages per on-call week, up from 6 a year ago. A fourth on-call rotation slot was approved to start 10/1, splitting the current three-person rotation into four. Hiring a dedicated incident-response role was proposed and rejected for this cycle, because the role would take an estimated two quarters to fill and train. Database alerts, deploy failures, third-party API timeouts, and disk-space warnings account for the page volume. Database alerts and third-party API timeouts together account for more than half of all pages. No test against a full quarter of data has confirmed whether the fourth rotation slot reduces the per-person page count to a sustainable level, or the volume keeps growing. The team has run three-person rotations for the past 14 months without a schedule change.",generation
gen-capacity-04,"The machine-learning training cluster hit its GPU quota three times in the past two weeks. A quota increase to 64 GPUs was approved for 9/20, ahead of a model retraining deadline of 10/1. Buying dedicated hardware instead of the increased cloud quota was considered and rejected, because the lead time for physical delivery is 8 to 12 weeks and the deadline is 6 weeks out. The recommendations team, the fraud-detection team, the search-ranking team, and the research team all share the cluster. The research team's jobs are preemptible and get evicted first when quota is tight. No model has checked, against the research team's next planned experiment, whether 64 GPUs is enough for all four teams' concurrent peak, or only for three of them running at once. The cluster has operated at its prior 40-GPU quota for the last five months without an increase.",generation
gen-capacity-05,"The support queue is averaging 240 open tickets per day, up from 150 six months ago. Adding two support agents was approved effective 10/1, timed to land before the holiday return-and-refund season. Outsourcing tier-one tickets to a contract vendor was proposed and rejected, because the vendor's sample response quality on a trial batch of 50 tickets missed the team's accuracy bar on 12 of them. Shipping delays, refund requests, account-access issues, and product-defect reports make up the bulk of ticket volume. Shipping delays and refund requests together account for most of the growth. No one has measured whether two additional agents restore the team's response-time target, or only slow the backlog's growth, since the estimate assumes ticket volume flattens after the holiday season. The team has operated with its current headcount for 9 months without an addition.",generation
